,name,price_per_night,rating_overall,rating_cleanliness,rating_accuracy,rating_communication,rating_location,rating_check_in,rating_value,num_listing_reviews,num_host_ratings,host_response_rate,host_joined_months_ago,num_guests,num_bedrooms,num_beds,num_baths,superhost,borough,property_type,wifi,air_conditioning,heating,kitchen
545,Brooklyn Room with private rooftop,72,4.56,4.8,4.6,4.9,4.6,4.9,4.6,18,18,100,69,2,1,1,1.0,0,brooklyn,private room,1,1,1,0
546,★ Modern HomeAway From Home Charming and Private ★,92,4.95,5.0,5.0,5.0,4.6,5.0,5.0,42,42,100,22,2,1,1,1.0,1,brooklyn,private room,1,1,1,1
547,Relax and Chill in Ocean Hill 420 friendly,114,4.78,4.9,4.8,4.8,4.7,4.6,4.7,27,27,100,66,4,2,2,1.0,0,brooklyn,apartment,1,1,1,1
548,"Cozy n brand new  Privte Bath Bklyn near F,G train",45,4.29,4.4,4.9,4.7,5.0,4.9,4.7,7,829,0,88,2,1,1,1.0,0,brooklyn,private room,1,1,1,1
549,Renovated/ private entrance/1-br by Park and Metro,149,4.54,4.7,4.7,4.9,4.7,4.9,4.5,110,110,94,62,4,1,2,1.0,1,brooklyn,apartment,1,1,1,1
550,Lux Alcove Sunlit Studio - Near JFK,99,4.71,4.8,4.8,4.9,4.6,4.9,4.7,315,315,100,92,3,1,2,1.0,0,brooklyn,apartment,1,1,1,1
551,Beautiful Private Bedroom with Balcony,69,4.86,4.8,4.9,4.9,4.8,5.0,4.9,121,141,100,78,2,1,1,1.0,0,brooklyn,private room,1,1,1,1
552,Relaxful Large Studio,88,4.5,4.5,4.8,4.8,4.8,4.8,4.3,24,77,88,6,3,0,2,1.0,0,brooklyn,apartment,1,1,1,1
553,Private room in the heart of Williamsburg,105,4.92,5.0,5.0,5.0,5.0,5.0,4.9,12,12,100,95,2,1,1,1.0,0,brooklyn,private room,1,1,1,1
554,The Brownstone at 1326.  Sunny studio apt!,179,5.0,5.0,4.9,5.0,4.8,5.0,4.9,12,12,100,47,2,0,1,1.0,1,brooklyn,apartment,1,1,1,1
555,1 Bedroom close to Prospect Park and Manhattan,82,4.64,4.8,4.8,5.0,4.8,4.9,4.8,70,7,96,49,2,1,1,1.0,0,brooklyn,house,1,1,1,1
556,Modern quiet and clean room minutes from Manhattan,67,4.6,4.5,4.8,4.8,4.5,4.9,4.6,219,1146,100,61,2,1,1,1.0,0,brooklyn,private room,1,1,1,1
557,Studio apartment in Sunset park,89,4.85,4.8,4.9,4.9,4.8,5.0,4.8,73,73,100,49,3,0,2,1.0,0,brooklyn,apartment,1,1,1,1
558,Bright Clean Private Room in Crown Heights 4SR,62,4.4,4.4,4.6,4.5,4.1,4.8,4.5,135,52,96,108,2,1,1,1.0,0,brooklyn,private room,1,1,1,1
559,Gorgeous Modern Private Room! *Not a Shared Space*,125,4.93,5.0,4.9,5.0,4.8,4.9,4.9,76,76,100,66,2,1,1,1.0,1,brooklyn,private room,1,1,1,0
560,Newly renovated house,125,4.76,4.9,4.8,4.9,4.5,5.0,4.7,125,125,100,91,5,1,2,1.0,1,brooklyn,apartment,1,1,1,1
561,Newly finished private 1 bedroom apartment,132,4.7,4.7,4.7,4.9,4.7,4.8,4.7,175,212,98,40,3,1,2,1.0,0,brooklyn,apartment,1,1,1,1
562,The Baly Simpson Inn,195,4.92,4.8,5.0,4.9,4.9,4.9,4.8,144,144,59,84,4,2,2,1.0,0,brooklyn,apartment,1,1,1,1
563,Caribbean delight home stay,46,5.0,4.9,4.8,4.8,4.8,4.9,4.9,9,9,100,5,2,1,1,1.0,1,brooklyn,private room,1,1,1,1
564,Amazing Micro Unit W/ communal rooftop and kitchen,191,4.52,4.6,4.6,4.6,4.9,4.8,4.5,533,1132,100,26,2,1,1,1.0,0,brooklyn,hotel,1,1,1,0
565,Private Room near Sunset Park Area,49,4.93,5.0,4.9,4.8,4.9,5.0,4.9,14,14,100,29,2,1,1,2.0,1,brooklyn,private room,1,1,0,1
566,"Beautiful, Bright and Modern Space w/ a Fresh Feel",132,4.67,4.7,4.8,4.8,4.6,4.8,4.7,113,116,100,63,3,1,1,1.0,0,brooklyn,apartment,1,1,1,1
