,name,price_per_night,rating_overall,rating_cleanliness,rating_accuracy,rating_communication,rating_location,rating_check_in,rating_value,num_listing_reviews,num_host_ratings,host_response_rate,host_joined_months_ago,num_guests,num_bedrooms,num_beds,num_baths,superhost,borough,property_type,wifi,air_conditioning,heating,kitchen
656,"Airy Bedroom 2, Red Hook Pied-à-terre",88,4.88,4.8,5.0,5.0,4.7,5.0,5.0,25,141,100,106,2,1,1,1.0,1,brooklyn,private room,1,1,1,1
657,Red Hook Studio,190,4.83,4.7,5.0,5.0,4.7,5.0,4.3,6,6,67,72,2,0,1,1.0,0,brooklyn,apartment,1,1,1,1
658,PRIVATE CLEAN ROOM IN BAYRIDGE 2,58,4.74,4.6,4.9,5.0,4.8,4.9,4.8,53,288,98,65,2,1,1,2.0,0,brooklyn,private room,1,1,1,1
659,Bright and Clean South Slope Studio,149,4.93,4.9,5.0,5.0,5.0,5.0,4.9,76,76,100,74,4,0,2,1.0,1,brooklyn,apartment,1,1,1,1
660,Bright and Spacious Apartment,125,4.91,4.9,5.0,5.0,4.8,5.0,4.9,94,115,80,73,6,2,4,1.0,0,brooklyn,house,1,1,1,1
661,"(B) Private Bedroom, Sharing is Caring",50,4.96,5.0,5.0,5.0,4.9,4.9,4.9,26,141,100,11,2,1,2,1.0,1,brooklyn,private room,1,1,1,1
662,1 Ready to Go Apartment 2 Bedroom,129,4.88,4.9,4.9,5.0,4.8,5.0,4.7,41,249,98,13,4,2,2,1.0,1,brooklyn,condo,1,1,1,1
663,Sunny Sunset Park Artist Loft,153,4.76,4.5,4.8,4.9,4.5,4.8,4.8,86,86,100,100,2,1,2,1.0,1,brooklyn,loft,1,1,1,1
664,Two-Bedroom Apartment in Dyker Heights,80,4.56,4.5,4.7,4.5,4.5,4.7,4.5,71,166,90,59,5,2,3,1.0,0,brooklyn,apartment,1,0,1,1
665,(F) Sharing is Caring,127,4.72,4.7,4.7,4.8,4.4,4.9,4.6,50,141,100,11,6,3,4,1.0,1,brooklyn,apartment,1,1,1,1
666,PRIVATE CLEAN ROOM IN BAYRIDGE 4,58,4.7,4.4,4.8,4.9,4.8,4.9,4.8,73,288,98,65,2,1,1,2.0,0,brooklyn,private room,1,1,1,1
667,Boerum Hill Queen BR in a Classic NYC Brownstone,95,4.99,5.0,5.0,5.0,5.0,5.0,5.0,92,209,100,98,2,1,1,1.5,1,brooklyn,private room,1,1,1,1
668,Entire Private Brownstone in Brooklyn,150,4.7,4.8,4.8,4.9,4.8,4.9,4.7,115,115,80,73,8,3,4,1.0,0,brooklyn,house,1,1,1,1
669,*30min to Manhattan*  Modern huge 3 BR/2Ba house,270,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3,3,100,2,12,3,5,2.0,0,brooklyn,townhouse,1,1,1,1
670,Sunny Space Off The Bay,44,4.68,4.6,4.7,4.8,4.6,4.8,4.7,19,19,100,31,2,1,1,1.0,0,brooklyn,private room,1,1,1,1
671,1 block away from the beach,86,4.38,4.6,4.7,4.8,4.5,4.9,4.6,21,21,94,48,2,1,1,1.0,0,brooklyn,private room,0,0,0,1
672,Park Slope Villa,162,4.4,4.7,4.6,4.3,4.8,4.1,4.6,124,124,100,31,2,1,1,1.0,0,brooklyn,apartment,1,1,1,0
673,"(A)Private Bedroom, Sharing is Caring",55,4.94,4.8,5.0,4.9,4.9,5.0,5.0,32,141,100,11,2,1,1,1.0,1,brooklyn,private room,1,0,0,1
674,PRIVATE CLEAN ROOM IN BAYRIDGE 3,55,4.66,4.3,4.7,4.7,4.8,4.8,4.7,47,288,98,65,2,1,1,2.0,0,brooklyn,private room,1,1,1,1
675,PRIVATE CLEAN ROOM IN BAYRIDGE 1,52,4.83,4.7,4.9,4.9,4.8,4.9,4.9,53,288,98,65,2,1,1,2.0,0,brooklyn,private room,1,1,1,1
676,100% Private Apartment in Brooklyn Next To N-Train,59,4.7,4.7,4.8,4.9,4.5,4.8,4.7,10,10,90,17,2,2,1,1.0,0,brooklyn,private room,1,1,1,1
677,Urban Oasis Junior,140,5.0,5.0,5.0,5.0,5.0,5.0,4.8,27,79,100,110,2,1,1,1.0,1,brooklyn,private room,1,1,1,1
678,Newly Renovate 2 Bedroom Apartment in Central Area,149,4.25,4.2,4.4,4.6,4.5,4.7,4.3,289,289,100,58,8,2,4,1.0,0,brooklyn,apartment,1,1,1,1
679,Stunning Brand New Apt - Big 1 bed/1bath+ sofa bed,312,4.61,4.6,4.7,4.6,4.8,4.4,4.6,95,95,100,104,4,1,2,1.0,0,brooklyn,apartment,1,1,1,1
680,BROOKLYN Private Cozy Room Near by Subway & Ferry,81,4.91,5.0,5.0,5.0,4.9,5.0,4.9,24,40,100,81,2,1,1,1.0,0,brooklyn,private room,1,1,1,1
681,A clean apartment in bayridge very big convenient,122,4.67,4.0,4.7,5.0,4.7,5.0,4.7,3,6,89,2,6,1,2,1.0,0,brooklyn,apartment,1,1,0,1
682,1718,50,4.4,4.2,4.6,4.8,4.7,4.9,4.7,57,499,96,53,2,0,1,1.0,0,brooklyn,private room,1,1,1,0
683,Private Lrg bedroom in a convrtable 2 Bed Apt.,75,4.56,4.3,4.6,4.7,4.7,4.7,4.7,77,98,93,62,5,1,2,1.0,0,brooklyn,private room,1,1,1,1
684,Sunny Room in a Cozy & Spacious Apartment,80,4.84,4.7,4.9,4.9,4.9,4.9,4.8,93,334,100,80,2,1,1,1.0,0,brooklyn,private room,1,1,1,1
685,Beautiful Loft w Roof Deck Ideal for Photo Shoots,600,4.81,4.8,4.8,4.8,4.6,4.9,4.6,74,339,94,117,4,1,1,1.0,1,brooklyn,loft,1,1,1,1
686,Private Room#1 in Beautiful Bay Ridge,50,4.95,5.0,5.0,5.0,4.9,5.0,5.0,38,143,100,26,2,1,1,1.0,0,brooklyn,private room,1,1,1,1
687,"Modern loft in Cobble Hill, BK",165,4.95,4.9,4.9,5.0,5.0,5.0,4.9,115,115,100,113,2,1,1,1.0,1,brooklyn,private room,1,1,1,1
688,Art deco apartment in Brooklyn,110,4.92,4.9,4.9,5.0,4.9,4.9,4.8,55,82,100,83,2,1,1,1.0,0,brooklyn,private room,1,1,1,1
689,Lovely Bedroom Near Subway,79,5.0,5.0,5.0,5.0,4.8,5.0,5.0,5,32,100,53,3,1,1,1.5,1,brooklyn,private room,1,1,1,1
690,Boerum Hill Twin BR in a Classic NYC Brownstone,96,5.0,5.0,5.0,5.0,5.0,5.0,5.0,102,209,100,98,2,1,2,1.5,1,brooklyn,private room,1,1,1,1
691,Quiet private room in Brooklyn,60,4.33,3.7,4.5,4.7,4.7,4.6,4.0,15,23,100,35,2,1,1,1.0,0,brooklyn,private room,1,1,1,0
692,Room w Garden Oasis view in Spacious S. Slope Home,85,4.88,4.9,4.8,5.0,4.9,5.0,4.9,8,9,100,88,2,1,1,1.0,0,brooklyn,private room,1,1,1,1
693,"Sunset Park, Affordable Stay",70,4.36,3.9,4.4,4.5,4.2,4.6,4.4,14,26,100,19,2,1,1,1.0,0,brooklyn,private room,1,1,1,1
694,The home,50,4.2,4.6,4.6,5.0,4.3,4.8,4.4,10,129,94,23,2,1,1,1.0,0,brooklyn,private room,1,1,1,1
695,new york home,138,4.74,4.7,4.8,4.8,4.7,4.8,4.8,143,650,98,72,2,1,1,1.0,1,brooklyn,condo,1,1,1,1
696,"Cozy, Cute apartment waiting for Nice Guest!",85,4.92,5.0,4.9,5.0,4.9,5.0,4.9,52,52,100,31,2,1,1,1.0,1,brooklyn,private room,1,1,1,1
697,Beautiful Brooklyn Basement Studio,100,4.9,5.0,5.0,5.0,4.9,5.0,4.9,133,133,75,80,3,0,2,1.0,1,brooklyn,house,1,1,1,1
698,Lovely Young Apt    Close to JFK & LGA,99,4.86,5.0,4.9,4.9,4.8,5.0,4.8,173,173,100,47,2,0,1,1.0,1,queens,townhouse,1,1,1,0
699,Apt 2 blocks from LG Airport sleeps 4 with Parking,110,4.96,5.0,5.0,5.0,4.8,5.0,4.9,46,46,100,43,4,1,2,1.0,1,queens,house,1,1,1,1
700,The clean separate studio in New York,60,4.87,4.9,4.9,5.0,4.8,5.0,4.8,186,419,100,68,2,1,1,1.0,1,queens,private room,1,1,1,0
701,New York Fancy House - Private Room,70,4.81,4.8,4.8,4.8,4.7,4.8,4.8,21,21,100,5,2,1,1,1.0,0,queens,private room,1,1,1,0
702,Independent Basement Apt.2 bedrooms,103,4.92,4.9,4.9,5.0,4.7,5.0,4.9,249,333,100,61,5,2,2,1.0,1,queens,apartment,1,1,1,0
703,Cozy and Clean Suite Near JFK and Long Island,80,5.0,5.0,4.9,5.0,4.9,4.9,4.9,15,15,100,3,2,1,1,1.0,0,queens,house,1,1,1,1
704,Spacious 1st floor apartment. 2 bedrooms,137,4.88,5.0,5.0,5.0,4.8,4.9,4.8,84,333,100,61,5,2,2,1.0,1,queens,apartment,1,1,1,1
705,"Dvine Home,  5 Minutes from JFK",89,4.88,4.9,4.9,5.0,4.8,5.0,4.9,103,107,100,33,3,1,3,1.0,1,queens,apartment,1,1,1,1
706,Newly Built 1 Bedroom Modern Oasis in Forest Hills,143,5.0,5.0,5.0,5.0,4.8,4.8,4.8,6,6,100,114,2,1,1,1.0,0,queens,private room,1,1,1,0
707,Rockaway Condo - Right on the Beach :),125,5.0,4.5,5.0,4.9,5.0,5.0,5.0,11,11,100,63,3,2,3,2.0,0,queens,condo,1,1,1,1
708,Entire suite close to LGA & JFK with free parking,93,4.82,4.9,4.9,5.0,4.8,5.0,4.8,106,106,100,86,4,1,3,1.0,1,queens,private room,1,1,1,0
709,Private Studio in the heart of Queens near LGA,78,4.74,4.8,4.7,4.6,4.7,4.7,4.7,39,71,100,52,3,0,1,1.0,0,queens,apartment,1,1,1,1
710,Gorgeous Super Clean Guest Suite,67,4.98,5.0,5.0,5.0,4.9,5.0,5.0,95,110,100,62,2,1,1,1.0,1,queens,private room,1,1,1,0
711,"Forest Park ""Tree House""",84,5.0,5.0,4.9,5.0,4.9,5.0,4.9,8,8,100,2,2,1,1,1.0,0,queens,apartment,1,1,1,1
712,"Sunny, serene airport NYC getaway",135,4.96,5.0,5.0,5.0,4.8,5.0,4.9,309,309,94,73,4,2,3,1.0,1,queens,house,1,1,1,1
713,Boutique Garden Suite w/PRIVATE ENTRANCE near JFK,105,4.95,5.0,5.0,5.0,4.9,5.0,4.9,250,250,100,54,2,1,1,1.0,1,queens,private room,1,1,1,1
714,A Simple Studio/Entire Apt/JFK abt 5mi,90,4.91,5.0,5.0,5.0,4.9,5.0,4.9,210,210,100,27,2,0,1,1.0,1,queens,private room,1,1,1,1
715,Modern Spacious Private One bedroom Free Parking.,121,4.66,4.6,4.8,4.9,4.8,4.9,4.6,305,305,100,69,4,1,2,1.0,0,queens,house,1,1,1,1
716,"Peaceful place, comfortable, close to the airport.",72,5.0,5.0,5.0,5.0,4.9,5.0,5.0,11,42,95,16,2,1,1,1.0,1,queens,private room,1,0,1,1
717,New Private Studio In Glendale Queens,110,4.91,4.9,4.9,5.0,4.9,4.9,5.0,23,36,100,93,3,0,2,1.0,1,queens,apartment,1,1,1,1
718,Home Sweet Home in Astoria,95,4.91,5.0,4.9,5.0,4.8,5.0,4.9,150,150,100,52,2,0,2,1.0,1,queens,townhouse,1,1,1,0
719,S and V's Place,109,4.89,4.9,4.9,4.9,4.9,5.0,4.9,38,38,100,39,4,1,3,1.0,1,queens,apartment,1,1,1,1
720,Ace location. Cozy Apt 30 min to city w # 7 Train,159,4.84,4.8,4.8,4.9,4.8,4.9,4.8,103,558,99,44,3,1,2,1.0,1,queens,apartment,1,1,1,1
721,Queens Village Morden 93,89,4.83,4.9,4.9,5.0,4.8,5.0,4.8,151,232,100,44,2,1,1,1.0,1,queens,private room,1,1,1,1
722,One-bedroom apartment minutes from JFK and LGA,101,4.67,4.8,4.7,4.7,4.8,5.0,4.5,21,21,84,29,2,1,2,1.0,0,queens,apartment,1,1,1,1
723,Studio in Forest Hills in a house with a backyard,139,4.87,4.6,4.9,5.0,4.9,5.0,4.9,39,39,100,91,3,0,2,1.0,1,queens,private room,1,1,1,1
724,CLZY  JFK•Casino•Beach,120,4.9,4.9,4.8,5.0,4.9,5.0,4.8,61,301,100,50,2,1,1,1.0,1,queens,apartment,1,1,1,0
725,20-37 46st Astoria Queens NYC,53,4.78,4.7,4.8,5.0,4.9,4.9,5.0,9,9,50,8,3,0,1,1.0,0,queens,private room,1,1,1,1
726,"Near LaGuardia Airport, Clean Private Luxury Suite",72,4.5,4.8,4.7,4.8,4.6,4.8,4.6,101,101,91,62,2,1,2,1.0,0,queens,private room,1,1,1,0
727,the little royal (private) room,70,4.78,4.7,4.9,4.9,4.7,4.9,4.8,141,168,95,118,2,1,1,1.0,0,queens,private room,1,1,1,0
728,"Excellent, comfortable and close to the airport.",71,4.9,4.9,5.0,5.0,4.9,4.9,4.9,31,42,95,16,2,1,1,1.5,1,queens,private room,1,0,1,1
729,The Rosedale Studio Retreat (Queens NY),95,5.0,5.0,5.0,5.0,5.0,5.0,5.0,43,43,100,23,2,1,1,1.0,1,queens,apartment,1,1,1,1
730,Super Cozy Guest Suite,71,4.82,4.9,4.7,4.8,4.9,4.8,5.0,17,17,100,87,3,1,1,1.0,1,queens,private room,1,1,1,1
731,Flushing Main st Apt near Roosevelt Av all private,159,4.98,4.9,5.0,5.0,4.9,5.0,4.9,45,558,99,44,3,1,2,1.0,1,queens,apartment,1,1,1,1
732,Cozy basement room 5 minutes walk from LGA,47,4.59,4.8,4.7,4.8,4.8,4.9,4.5,83,302,85,22,2,1,1,1.0,0,queens,private room,1,1,1,0
733,Cozy Private Room in Queens,103,4.98,5.0,4.9,5.0,4.8,5.0,4.9,44,307,96,24,2,1,1,1.0,0,queens,private room,1,1,1,1
734,Studio Apartment Near Subway | Babies Welcomed,99,4.67,4.7,4.9,4.8,4.9,4.9,4.7,49,57,80,62,3,0,1,1.0,0,queens,apartment,1,1,1,1
735,Contemporary Modern Studio,140,4.86,4.9,5.0,4.9,4.8,4.9,4.8,199,199,100,76,2,0,1,1.0,1,queens,apartment,1,1,1,1
736,BEST LOCATION IN NY,63,4.66,4.5,4.7,4.9,4.9,4.8,4.8,71,109,92,48,2,1,2,1.0,1,queens,private room,1,1,1,0
737,"Cozy Room in Corona

Cuarto acogedor en Corona",61,5.0,5.0,5.0,5.0,4.8,5.0,4.8,5,5,92,4,2,1,1,1.0,0,queens,private room,1,1,1,0
738,My safety Nest,79,4.96,4.9,5.0,5.0,4.9,5.0,5.0,23,23,100,18,2,0,2,1.0,1,queens,apartment,1,1,1,1
739,♥️🏆TwiceAs BetterHome Inn JFK 5mins 15 LaGuardia,83,4.74,4.8,4.9,4.9,4.5,4.9,4.7,277,516,100,33,3,1,2,1.0,0,queens,apartment,1,1,1,1
740,Cozy 1BR APT in the heart of Astoria,38,4.79,4.8,4.8,4.8,4.9,4.9,4.9,240,240,53,47,2,1,1,1.0,0,queens,private room,1,1,0,1
741,*PRIVATE* Loft 5 minutes away from LaGuardia,99,4.63,4.7,4.7,4.8,4.8,4.9,4.7,172,508,99,64,3,2,2,1.0,0,queens,loft,1,1,1,0
742,Homestead: Home Away from Home,135,5.0,5.0,5.0,5.0,4.5,5.0,5.0,13,13,100,51,4,2,2,1.0,1,queens,apartment,1,1,1,1
743,“Urban Crib” modern 1BR APT close to JFK/LGA,100,4.63,4.8,4.8,5.0,4.8,5.0,4.8,46,84,100,54,4,1,3,1.0,0,queens,house,1,1,1,1
744,"Bright spacious bedroom, private bathroom, kitchen",95,4.76,4.6,4.9,5.0,4.9,5.0,4.8,21,21,100,65,2,1,1,1.0,1,queens,apartment,1,1,1,1
745,NYC suite private Bath+Balcony 8 min Times Square,91,4.67,4.5,4.8,4.9,4.8,4.8,4.7,393,588,100,93,3,1,1,2.0,0,queens,private room,1,1,1,1
746,Beach Bungalow 3,130,4.97,5.0,5.0,5.0,4.9,5.0,4.9,66,185,100,63,2,0,2,1.0,1,queens,house,1,1,1,1
747,"Entire Place w. Kitchen & Laundry, to Mets LGA JFK",101,4.86,5.0,4.8,4.9,4.9,4.9,4.8,72,72,100,20,3,1,1,1.0,1,queens,house,1,1,1,1
748,Cozy 1br apt near JFK w/ fireplace & king size bed,129,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,100,71,2,1,1,1.0,0,queens,house,1,1,1,1
749,Lovely Astoria Studio-close to NYC!,90,4.75,4.9,4.8,4.8,4.7,4.9,4.7,267,286,100,83,3,1,2,1.0,1,queens,house,1,1,1,1
750,Amazing private studio near public transportation,91,5.0,5.0,4.7,5.0,4.5,5.0,4.8,6,6,100,38,2,1,1,1.0,0,queens,house,1,1,1,1
751,"clean/comfortable room:6 min LGA, 12 min from JFK",65,4.69,4.8,4.7,4.7,4.7,4.6,4.8,39,218,98,34,2,1,1,1.0,0,queens,private room,1,1,1,1
752,Entire new guest suite w/Pvt entry in Queens,89,4.73,4.8,4.9,5.0,5.0,5.0,4.8,22,22,100,17,2,0,1,1.0,0,queens,private room,1,0,1,1
753,"Private room with TWO twin beds, BEST LOCATION",60,4.59,4.4,4.7,4.8,4.9,4.9,4.7,39,307,96,81,2,1,2,2.0,0,queens,private room,1,0,1,1
754,Spacious paradise all by urself DT Flushing Mainst,159,4.98,4.9,5.0,5.0,4.9,5.0,4.9,60,558,99,44,3,1,2,1.0,1,queens,apartment,1,1,1,1
755,My home,119,4.86,4.6,4.9,4.4,4.9,4.9,4.7,7,9,94,42,3,3,3,1.5,0,queens,condo,1,1,1,1
756,Tranquil Haven Entire Studio 8mins JFK/Air Train,85,4.9,5.0,4.8,4.8,4.9,4.8,4.8,20,307,100,41,2,1,1,1.0,1,queens,house,1,1,1,1
757,NEWLY DECORATED 2 BEDROOM APARTMENT QUITE LOCATION,93,4.13,4.0,4.1,4.6,4.6,4.5,4.3,32,41,96,43,5,2,2,1.0,0,queens,house,1,1,1,1
758,"Couple room, private attached -bath. Mid-Flushing",89,4.81,4.9,4.9,4.9,4.7,4.9,4.7,89,554,100,37,2,1,1,1.0,1,queens,private room,1,1,1,1
759,Beautiful/clean Bedroom near JFK and LGA airports,67,4.62,4.8,4.9,4.6,4.7,4.5,4.8,26,218,98,34,2,1,1,1.0,0,queens,private room,1,1,1,1
760,Cozy Self Contained Private 1 Bedroom Apartment,78,4.87,4.9,4.9,4.9,4.8,4.9,4.9,159,159,100,34,2,1,1,1.0,1,queens,apartment,1,1,1,1
761,Cozy Studio with a Modern/Luxe Feel,144,5.0,5.0,5.0,5.0,5.0,5.0,4.9,121,121,100,21,2,1,1,1.0,1,queens,apartment,1,1,1,1
762,"""1 Sweet Suite"" VERYFAIR $ Brand New Queens Studio",90,5.0,5.0,5.0,5.0,4.5,5.0,5.0,4,4,94,55,3,0,1,1.0,0,queens,house,1,1,1,1
763,Beautiful 1 bedroom in NYC,150,4.91,5.0,5.0,4.9,4.7,5.0,4.8,145,146,100,84,5,1,2,1.0,1,queens,apartment,1,1,1,1
764,Basement room with 1 double size bed near LGA,46,4.78,4.9,4.9,4.8,4.8,4.8,4.8,77,302,85,22,2,1,1,1.0,0,queens,private room,1,1,1,0
765,5min fr Belmont Park 15min fr JFK 20min fr LaGuard,117,4.64,4.6,4.8,4.8,4.8,4.8,4.8,123,123,100,31,2,1,1,1.0,0,queens,apartment,1,1,1,1
766,THE PRIVACY DEN ~ 5 MINUTES TO JFK,55,4.64,4.8,4.8,4.9,4.8,4.9,4.7,639,639,100,59,2,1,1,1.0,0,queens,apartment,1,1,1,0
767,Comfy convenient apt 3 block from Main st Flushing,159,4.96,5.0,4.9,5.0,4.9,5.0,4.8,57,558,99,44,3,1,2,1.0,1,queens,apartment,1,1,1,1
768,Luxury 1 bedroom near subway & all 2A,159,4.91,5.0,5.0,4.7,5.0,4.9,4.8,11,30,100,20,2,1,1,1.0,1,queens,condo,1,1,1,1
769,Beautiful 2 Bedroom Apartment,138,4.7,4.8,4.9,4.9,4.7,5.0,4.7,47,126,93,18,4,2,2,1.0,0,queens,apartment,1,1,1,1
770,Room Private Entrance Close to Subway/Bus/Airport,81,4.91,4.7,4.9,5.0,4.9,5.0,4.9,86,86,100,71,3,1,2,1.0,1,queens,private room,1,1,1,0
771,Lovely room w/free parking by LaGuardia Airport!,75,4.93,5.0,5.0,4.9,4.9,5.0,4.9,27,46,100,4,3,1,2,1.0,1,queens,private room,1,1,1,1
772,"Steps to the Beach, Rockaway Hotel and Ferry",189,5.0,5.0,5.0,5.0,5.0,5.0,4.9,36,36,100,68,4,2,4,1.0,1,queens,house,1,1,1,1
773,The James Franco! Beautiful Floating Surf Safari!,140,4.71,4.7,4.8,4.8,4.8,4.7,4.4,69,1105,98,95,2,1,1,1.0,0,queens,house,1,1,1,1
774,"Hidden Gem in Astoria, 1 MINUTE away to subway",59,4.67,4.5,4.8,4.7,4.7,4.9,4.8,27,911,100,62,2,1,2,2.0,0,queens,private room,1,0,1,1
775,Entire House 4Bed/2Bath 5min to Beach 10min to JFK,300,5.0,4.8,5.0,5.0,5.0,5.0,5.0,5,5,100,27,6,4,5,2.0,0,queens,house,1,1,1,1
776,Mint room. Private-attached bath Central  Flushing,90,4.95,5.0,5.0,4.9,4.8,4.9,4.8,62,554,100,37,2,1,1,1.0,1,queens,private room,1,1,1,1
777,Private! Backyard New Modern CloseJFK Train NYC :),100,4.81,4.9,4.9,4.8,4.8,4.9,4.7,31,31,100,60,4,0,2,1.0,1,queens,private room,1,1,1,1
778,"Cozy Private Room, Walking Distance From LGA, Rm 8",66,4.7,4.9,4.8,5.0,4.8,5.0,4.7,96,1312,99,39,2,1,1,1.0,0,queens,private room,1,1,1,0
779,Room C,44,4.5,4.4,4.8,4.8,4.6,4.8,4.4,18,95,100,25,2,1,1,1.0,0,queens,private room,1,1,1,1
780,Ana Karla Sweet Home,179,4.78,5.0,4.8,5.0,4.9,4.9,4.8,46,64,100,77,4,2,2,1.0,1,queens,apartment,1,1,1,1
781,Spacious apartment near Everything..,121,5.0,5.0,5.0,5.0,4.7,5.0,4.8,6,6,100,7,4,2,2,1.0,1,queens,apartment,1,1,1,1
782,Luxurious 2-bedroom residential home with deck.,259,5.0,5.0,5.0,5.0,4.0,4.3,5.0,3,3,100,2,4,2,2,1.0,0,queens,house,1,1,1,1
783,Luxury Home away from home in NYC!,225,4.89,4.9,4.9,4.9,4.9,5.0,4.8,57,57,100,60,4,2,2,1.5,0,queens,house,1,1,1,1
784,Lovely room! Just minutes from LaGuardia Airport!,75,5.0,5.0,5.0,5.0,5.0,5.0,5.0,19,46,100,4,3,1,2,1.5,1,queens,private room,1,1,1,1
785,Good vibes- gay friendly,81,4.76,4.7,4.8,4.8,5.0,4.8,4.8,60,60,100,105,2,1,2,1.5,0,queens,private room,1,1,1,0
786,Gramercy park Apartment (2beds),107,4.66,4.6,4.8,4.8,5.0,4.8,4.6,32,32,79,18,3,0,2,1.0,0,queens,apartment,1,1,1,1
787,One Bedroom Apartment minutes from JFK and LGA,89,4.59,4.9,4.7,4.7,4.8,4.7,4.6,34,34,79,41,2,0,1,1.0,0,queens,apartment,1,1,1,1
788,Nini’s Cozy Room,55,5.0,5.0,5.0,5.0,4.8,4.8,5.0,5,5,95,25,2,1,1,1.0,0,queens,private room,1,0,0,0
789,Newly renovated room/ 10min LGA #1,60,4.54,4.7,4.8,4.6,4.6,4.9,4.6,112,446,90,68,2,1,1,1.0,0,queens,private room,1,1,0,0
790,My Little Cottage,105,4.53,4.7,4.7,4.6,4.6,4.8,4.6,258,360,91,47,2,1,0,1.0,0,queens,private room,1,1,1,0
791,Shang Ri La Studio,121,4.83,4.8,4.9,4.9,4.9,5.0,4.6,243,546,97,92,3,0,2,1.0,1,queens,apartment,1,1,1,1
792,Super Cozy private Attic,82,4.64,4.8,4.8,4.8,4.6,5.0,4.7,22,37,100,15,3,1,2,1.0,0,queens,private room,1,1,1,0
793,Astoria Full Basement Apartment,110,4.96,5.0,5.0,5.0,4.9,5.0,4.9,323,323,100,71,4,1,3,1.0,1,queens,private room,1,1,1,0
794,The Sunshine Village House,250,4.94,4.9,4.9,4.9,4.8,4.9,4.9,122,122,100,9,4,2,2,1.0,1,queens,apartment,1,1,1,1
795,Enjoy great views of the City!,163,4.23,4.4,4.3,4.4,4.9,4.4,4.2,757,1315,88,30,2,1,1,1.0,0,queens,hotel,1,1,1,0
796,"Family Room, 1 Double size bed and 1 Twin size bed",129,4.16,4.4,4.4,4.0,4.2,4.1,4.1,19,174,98,27,3,1,2,1.0,0,queens,hotel,1,1,1,0
797,30 mins from Time Square (7 train),48,4.52,4.6,4.7,4.8,4.5,4.9,4.5,52,52,100,29,2,1,1,1.0,0,queens,private room,1,1,1,1
798,#203   Flushing downtown luxury suite,73,4.61,4.5,4.7,4.8,4.7,4.9,4.4,44,283,97,32,2,1,1,1.0,0,queens,private room,1,1,1,1
799,Lux Home |Prof Clean| Close to NYC & ALL Hospitals,156,4.74,4.7,4.8,4.7,4.8,4.6,4.7,27,45,100,17,2,1,2,1.0,0,queens,private room,1,1,1,1
800,Clean&Simple (45 minutes to Manhattan) Near JFK,60,4.8,4.8,4.9,4.9,4.5,5.0,4.8,215,395,100,51,2,1,1,1.0,1,queens,private room,1,1,1,1
801,Simple 2-Bedroom apartment in Queens near transit,135,5.0,5.0,5.0,5.0,4.6,5.0,4.6,5,126,93,18,5,2,3,1.0,0,queens,apartment,1,1,1,0
802,Surfside Studio,132,4.79,4.8,4.8,4.9,4.8,4.9,4.7,269,546,97,92,4,0,2,1.0,1,queens,apartment,1,1,1,1
803,Watson’s Loft,50,5.0,5.0,5.0,5.0,5.0,4.9,5.0,23,23,100,106,2,1,1,1.0,1,queens,private room,1,1,1,1
804,Bright & spacious apt in convenient location.,97,5.0,5.0,5.0,5.0,4.9,5.0,4.9,7,7,100,6,2,1,2,1.0,0,queens,apartment,1,1,1,1
805,Room #3,44,4.47,4.5,4.7,4.8,4.7,4.8,4.7,77,95,100,25,2,1,2,1.0,0,queens,private room,1,1,1,1
806,Fantastic! NYC Bright and spacious private-balcony,145,4.76,4.8,4.7,4.8,4.8,4.9,4.6,59,106,100,42,4,1,1,2.0,0,queens,apartment,1,1,1,1
807,Cozy 💤 room 8 mins from JFK✈️ & Train🚇Smoking 🍃OK!,44,4.4,4.6,4.6,4.7,4.7,4.7,4.5,15,24,100,49,2,1,1,1.0,0,queens,private room,1,1,1,1
808,"private room & bathroom, 500 ft away from beach.",130,4.95,5.0,5.0,5.0,5.0,5.0,4.8,19,21,100,101,2,1,1,1.0,1,queens,private room,1,1,1,0
809,『Loft』Rooftop║Balcony║4 Beds║2 Bath║2 Bedrooms,400,4.95,5.0,4.9,5.0,4.8,5.0,4.9,109,211,89,70,5,2,4,1.5,1,queens,loft,1,1,1,1
810,Full Apartment / 1 Bedroom ( Lower Level),78,4.55,4.7,4.8,5.0,4.6,4.9,4.7,78,114,100,47,4,1,2,1.0,0,queens,apartment,1,1,1,1
811,Surfers' and Beach Goers' Paradise,140,4.93,5.0,5.0,5.0,4.9,5.0,4.9,276,276,100,87,4,1,2,1.0,1,queens,house,1,1,1,1
812,📍The Place to be📍Beautiful Studio in Heart of NYC!,155,4.58,4.9,4.7,4.8,4.4,5.0,4.5,38,49,100,8,2,0,1,1.0,0,queens,apartment,1,1,1,1
813,*PRIVATE* Studio 5 minutes from LGA/ US Open,101,4.4,4.5,4.6,4.8,4.5,4.7,4.3,78,508,99,64,2,1,1,1.0,0,queens,apartment,1,1,1,1
814,Queens Modern Apartment with WiFi!,194,4.91,4.9,5.0,5.0,4.8,4.9,4.8,44,152,100,52,5,2,3,1.0,1,queens,apartment,1,1,1,1
815,Comfortable  and Private Entire Guest Suite,134,5.0,5.0,5.0,4.8,5.0,5.0,5.0,6,6,100,35,2,1,1,1.0,0,queens,private room,1,1,1,0
